sepal_length,sepal_width,petal_length,petal_width,species,sepal_length_none,sepal_length_zscore,sepal_length_log,sepal_length_boxcox,sepal_length_yeojohnson
5.1,3.5,1.4,0.2,setosa,5.1,0.2693818929528208,1.8082887711792655,2.1027844284548425,2.1189529713391058
4.9,3.0,1.4,0.2,setosa,4.9,-0.30377107077658666,1.7749523509116738,2.0378548744076173,2.073670147413659
4.7,3.2,1.3,0.2,setosa,4.7,-0.8769240345059967,1.7404661748405046,1.971045282611249,2.0270963155444046
4.6,3.1,1.5,0.2,setosa,4.6,-1.1635005163707028,1.7227665977411035,1.936892957142629,2.003299318187875
5.0,3.6,1.4,0.2,setosa,5.0,-0.017194588911882934,1.791759469228055,2.0705466164253474,2.0964679911549116
5.4,3.9,1.7,0.4,setosa,5.4,1.129111338546937,1.8562979903656263,2.1969206792577736,2.1846218281087464
4.6,3.4,1.4,0.3,setosa,4.6,-1.1635005163707028,1.7227665977411035,1.936892957142629,2.003299318187875
5.0,3.4,1.5,0.2,setosa,5.0,-0.017194588911882934,1.791759469228055,2.0705466164253474,2.0964679911549116
4.4,2.9,1.4,0.2,setosa,4.4,-1.7366534801001103,1.6863989535702288,1.8669993071745141,1.954628579323107
4.9,3.1,1.5,0.1,setosa,4.9,-0.30377107077658666,1.7749523509116738,2.0378548744076173,2.073670147413659
5.4,3.7,1.5,0.2,setosa,5.4,1.129111338546937,1.8562979903656263,2.1969206792577736,2.1846218281087464
4.8,3.4,1.6,0.2,setosa,4.8,-0.5903475526412929,1.7578579175523736,2.00469334750791,2.050549671675283
4.8,3.0,1.4,0.1,setosa,4.8,-0.5903475526412929,1.7578579175523736,2.00469334750791,2.050549671675283
4.3,3.0,1.1,0.1,setosa,4.3,-2.0232299619648164,1.667706820558076,1.8312169406215437,1.92973042025614
5.8,4.0,1.2,0.2,setosa,5.8,2.2754172660057543,1.916922612182061,2.3169096656402823,2.268320234827658
5.7,4.4,1.5,0.4,setosa,5.7,1.9888407841410507,1.9021075263969205,2.2874686289243837,2.247786356084226
5.4,3.9,1.3,0.4,setosa,5.4,1.129111338546937,1.8562979903656263,2.1969206792577736,2.1846218281087464
5.1,3.5,1.4,0.3,setosa,5.1,0.2693818929528208,1.8082887711792655,2.1027844284548425,2.1189529713391058
5.7,3.8,1.7,0.3,setosa,5.7,1.9888407841410507,1.9021075263969205,2.2874686289243837,2.247786356084226
5.1,3.8,1.5,0.3,setosa,5.1,0.2693818929528208,1.8082887711792655,2.1027844284548425,2.1189529713391058
5.4,3.4,1.7,0.2,setosa,5.4,1.129111338546937,1.8562979903656263,2.1969206792577736,2.1846218281087464
5.1,3.7,1.5,0.4,setosa,5.1,0.2693818929528208,1.8082887711792655,2.1027844284548425,2.1189529713391058
4.6,3.6,1.0,0.2,setosa,4.6,-1.1635005163707028,1.7227665977411035,1.936892957142629,2.003299318187875
5.1,3.3,1.7,0.5,setosa,5.1,0.2693818929528208,1.8082887711792655,2.1027844284548425,2.1189529713391058
