transaction_id,transaction_amount,transaction_frequency_7d,account_age_days,distance_from_home_km,time_since_last_transaction_hours,failed_login_attempts_24h,channel,country,fraud
T001448,59.39,4,499.5,20.43,0.51,0,card,DE,0
T001115,27.28,2,846.48,5.67,11.52,0,online,DE,0
T001065,18.09,3,840.91,3.19,5.19,0,mobile,DE,0
T002288,90.25,4,547.67,3.85,10.03,0,mobile,FR,0
T001538,10.2,2,494.19,4.08,3.82,0,mobile,DE,0
T000669,19.35,4,226.44,1.58,3.88,1,online,ES,0
T001584,17.52,2,602.98,16.59,26.11,1,card,DE,0
T002405,16.02,3,646.88,11.69,35.1,0,online,NL,0
T000498,21.44,0,809.97,40.04,11.62,1,card,DE,0
T002481,137.49,8,90.76,12.48,4.99,1,card,DE,1
T000472,20.62,1,764.11,30.7,15.21,0,card,ES,0
T000247,14.11,7,352.48,12.58,2.49,0,mobile,NL,0
T000924,18.83,4,252.32,18.69,1.91,0,online,DE,0
T001132,22.32,1,394.33,2.89,4.3,0,mobile,DE,0
T000671,39.71,3,877.92,3.48,5.07,0,card,Other,0
T000917,56.82,2,830.44,18.47,24.28,0,online,Other,0
T001415,54.73,4,549.64,4.8,0.91,0,mobile,DE,0
T001607,34.1,1,374.94,6.68,4.72,0,card,Other,0
T000403,40.5,2,1196.83,51.08,8.15,1,online,DE,0
T001104,34.32,5,148.14,22.06,3.81,0,card,Other,0
T002073,8.69,6,347.4,9.0,9.08,0,card,DE,0
T000720,14.7,2,250.55,3.57,1.68,1,mobile,DE,0
T002012,68.54,1,454.85,7.16,9.54,1,online,FR,0
T002437,27.78,8,79.96,20.53,4.93,2,card,Other,1
T000197,36.74,2,306.99,14.91,1.58,0,card,FR,0
T000892,18.98,4,408.89,4.76,1.0,0,online,DE,0
T001265,25.1,5,373.28,41.26,2.32,0,card,DE,0
T001035,19.29,3,1107.7,12.68,95.36,0,online,DE,0
T001326,43.91,4,799.96,3.48,3.8,0,card,DE,0
T000510,33.31,3,439.31,9.96,1.4,1,online,DE,0
T001428,42.8,4,331.74,31.44,19.88,1,mobile,DE,0
T000195,14.03,2,348.0,5.26,5.34,0,mobile,NL,0
T001180,32.45,7,612.99,12.7,0.07,0,card,ES,0
T002033,37.07,2,428.35,3.55,2.25,0,branch,Other,0
T000933,48.96,3,383.39,7.92,23.22,0,online,DE,0
T001125,23.31,4,528.19,6.31,5.41,1,card,DE,0
T001823,50.5,8,418.3,5.17,14.15,0,online,FR,0
T001367,13.88,1,345.77,18.52,16.19,0,card,FR,0
T001993,29.29,3,731.95,22.99,20.77,0,mobile,DE,0
T001259,67.14,2,305.52,5.14,0.53,0,card,DE,0
T002275,27.65,1,428.74,13.61,5.53,0,online,DE,0
T001274,31.66,1,483.84,7.88,0.8,0,card,ES,0
T001937,25.32,2,292.63,10.06,8.42,0,card,DE,0
T001267,16.28,2,592.54,16.33,15.89,0,card,Other,0
T000773,29.68,1,313.22,37.47,25.9,1,online,NL,0
T001609,22.88,1,247.54,6.71,13.16,0,card,FR,0
T001312,40.15,1,365.56,12.1,2.13,1,card,ES,0
T000135,11.49,4,954.02,24.35,13.23,0,card,Other,0
T001856,17.63,3,888.09,5.54,6.78,1,mobile,DE,0
T002400,35.65,2,669.59,9.66,7.28,1,card,DE,0
T000421,27.13,3,452.88,2.55,2.69,0,card,ES,0
T001756,36.45,5,251.7,6.2,13.5,0,online,DE,0
T000708,35.06,2,522.24,11.81,1.31,0,card,DE,0
T000094,24.68,4,619.06,31.91,9.54,1,mobile,NL,0
T000057,22.17,2,793.35,16.58,27.58,1,mobile,ES,0
T000219,23.69,6,783.32,14.67,15.74,0,card,FR,0
T001037,44.36,4,465.99,6.42,7.9,0,mobile,Other,0
T001294,8.0,5,508.27,17.18,0.03,0,online,FR,0
T001953,9.71,3,752.02,19.66,7.53,0,mobile,DE,0
T001450,18.61,3,877.23,7.17,7.84,0,mobile,FR,0
T002360,61.21,3,483.53,22.23,4.44,1,card,DE,0
T001466,26.37,4,481.43,3.76,3.66,2,card,ES,0
T000299,9.81,4,398.93,6.09,3.52,0,online,FR,0
T002178,34.1,3,499.97,2.56,1.53,1,online,DE,0
T000179,24.16,4,549.95,12.96,1.56,1,online,ES,0
T001188,31.53,7,527.25,3.88,5.62,0,mobile,DE,0
T001473,25.6,2,257.49,35.61,4.21,0,card,Other,0
T000189,12.15,2,552.96,14.07,2.98,0,online,FR,0
T000573,29.79,0,338.29,11.54,5.02,0,card,FR,0
T000434,9.42,3,458.45,38.03,10.94,0,card,DE,0
T000519,42.26,1,613.65,7.35,13.81,1,card,DE,0
T002347,23.41,4,469.51,9.05,37.34,0,card,DE,0
T002272,14.16,5,449.14,3.29,1.96,0,online,DE,0
T001085,27.4,2,497.57,9.71,8.01,0,mobile,FR,0
T001289,77.63,1,427.7,11.11,1.2,1,mobile,NL,0
T001124,22.65,5,440.33,2.33,6.05,1,online,ES,0
T001342,32.63,4,1034.85,12.95,14.87,0,online,DE,0
T002257,30.96,2,372.99,2.68,21.12,0,card,FR,0
T001491,18.38,2,187.73,9.43,18.34,0,card,FR,0
