transaction_amount,weekend_transaction,manual_approval_missing,prior_exceptions,country_risk,years_with_supplier,high_risk,annual_loss
2775.37,0,1,0,Low,1.9,0,904.3
1012.33,1,0,1,Medium,4.4,0,35.86
3877.08,0,0,2,High,2.6,0,1927.31
4471.25,0,1,2,Low,6.4,0,1383.47
511.18,1,0,0,Low,4.0,0,1166.85
831.61,1,0,0,Low,4.1,0,952.04
2430.57,1,0,0,Low,6.2,0,539.76
1742.05,0,0,2,Medium,4.1,0,1616.42
2180.7,0,0,0,Medium,2.5,0,1200.44
1164.7,0,0,1,Medium,7.4,0,568.83
4270.77,0,0,1,Low,6.1,0,637.79
3957.41,0,0,1,Medium,4.7,0,0.0
2320.47,0,0,1,Low,8.2,0,172.57
5143.2,0,0,1,Low,4.2,0,561.67
3135.78,1,0,5,High,5.3,1,4060.3
1159.25,0,1,1,Medium,5.5,1,1871.19
2911.91,1,0,0,High,2.6,1,2421.43
1075.82,0,0,4,High,20.0,0,1691.38
4267.73,0,0,2,Medium,4.8,0,1562.85
2127.19,0,0,2,High,3.2,1,3053.05
1922.45,1,0,5,Low,2.7,0,2355.87
1325.18,0,0,1,Low,1.1,0,709.56
5524.27,0,0,2,Low,1.0,0,409.11
1966.68,0,1,2,Low,20.0,0,1166.69
1601.59,0,1,1,Low,1.1,0,998.09
1695.78,0,0,0,Low,2.6,0,246.89
3291.94,1,0,2,Medium,3.7,0,1791.68
2904.69,0,0,2,Medium,4.0,0,2157.38
3009.56,0,0,1,Medium,3.9,0,1567.32
3050.67,1,0,1,Low,3.9,0,630.41
11006.44,0,0,0,Medium,5.9,0,1793.57
1628.13,1,0,0,Low,3.3,0,1166.14
1503.9,0,0,1,Low,5.6,0,271.94
1199.51,0,0,1,Low,4.3,0,1160.84
3505.14,0,1,1,Low,8.1,0,1267.15
5149.88,0,0,1,Low,8.2,0,195.02
2027.46,1,0,2,Medium,3.3,1,2812.28
1176.01,0,0,0,Medium,6.0,0,851.65
1189.92,0,1,2,Medium,8.9,1,2528.07
3597.32,0,0,0,Low,2.2,0,581.21
3856.21,0,0,4,Medium,4.3,0,1564.44
3318.82,1,0,1,Medium,5.8,0,1827.89
1340.59,1,1,1,Low,2.2,1,2429.94
2628.37,0,0,0,Medium,3.6,0,925.53
2410.32,0,0,1,Low,12.8,0,975.15
2601.95,0,1,0,Low,3.2,0,397.11
4245.32,0,0,2,Low,3.5,0,675.32
2611.54,1,0,3,Low,6.8,0,447.34
3674.55,0,0,2,Low,2.0,0,1437.83
2323.16,0,0,0,Low,4.4,0,0.0
2743.09,0,0,0,Low,2.6,0,614.93
3545.61,1,0,1,High,5.6,0,2312.24
740.36,0,0,0,Low,0.3,0,733.12
1737.58,0,1,2,Low,5.1,0,829.42
1551.88,0,0,1,Low,5.9,0,682.79
1367.64,0,0,2,High,3.6,1,3684.39
1796.59,0,0,5,Medium,3.8,1,3918.63
6776.43,0,0,3,High,3.3,1,3947.38
1153.58,0,0,1,Low,4.4,0,876.37
4565.16,0,1,1,Low,11.5,0,876.75
625.06,0,1,3,Medium,8.3,1,3269.0
1717.86,0,0,2,Low,4.3,0,903.34
2495.05,1,0,1,Medium,3.6,0,1742.94
3427.78,0,0,0,High,7.8,0,1141.88
3764.69,0,0,3,Low,5.3,0,1298.41
4003.84,0,0,3,High,2.1,1,3300.55
1700.12,1,0,2,Medium,4.0,0,1774.46
1561.24,0,0,2,Low,10.7,0,1250.83
4202.7,0,0,0,Low,6.6,0,325.63
1913.18,1,0,1,Low,3.6,0,355.12
848.3,0,0,0,Medium,1.4,0,1603.01
943.91,0,0,2,Low,5.5,0,2305.16
1108.11,0,0,2,Low,4.8,0,1193.65
3206.29,0,0,3,Medium,4.3,0,926.24
2457.3,0,0,0,Low,7.9,0,96.75
3706.58,0,0,2,Low,6.7,0,1409.48
1602.89,0,0,0,Medium,1.5,0,1499.82
2487.18,0,0,1,Low,4.8,0,117.01
3530.49,1,0,1,Low,1.8,0,1138.75
1751.08,0,0,1,Low,3.4,0,840.34
3110.63,0,1,1,Low,1.7,0,1803.26
1344.2,1,0,0,Low,1.7,0,605.11
1681.95,1,0,1,Medium,6.0,0,517.64
1658.55,0,0,1,High,5.6,0,1967.76
900.65,0,1,0,Low,4.6,0,1531.68
3181.89,1,0,0,High,3.2,0,1777.31
1553.01,0,1,1,Medium,1.6,0,1741.59
2229.14,1,0,2,Medium,3.4,0,1415.07
3167.06,1,0,1,Medium,5.6,0,1016.52
3086.83,1,0,1,Medium,5.5,0,2040.61
3637.45,0,0,1,Medium,10.6,0,1377.74
2051.11,0,0,2,Low,9.7,0,1283.28
1607.65,0,0,2,Low,4.7,0,1808.7
2080.18,0,0,4,Low,3.4,0,955.45
622.97,1,0,1,Low,2.6,0,699.99
745.96,0,0,0,Medium,1.4,0,789.08
818.91,0,0,2,Low,2.0,0,616.95
1045.31,0,0,2,Low,5.6,0,1373.9
2980.45,1,0,2,Low,7.0,0,1325.56
1119.78,0,0,0,Low,3.9,0,0.0
1663.0,0,1,0,Medium,17.5,0,1302.58
5851.31,0,0,1,Medium,2.0,0,1413.28
1690.54,0,0,1,Low,1.3,0,1242.41
3839.65,0,0,2,Low,17.3,0,1355.0
1096.4,0,0,1,Low,1.5,0,940.38
1893.01,0,0,2,Low,3.8,0,1178.67
1082.99,0,0,1,Medium,2.8,0,882.29
1712.53,0,0,1,Medium,5.9,0,635.96
4147.38,0,1,1,Low,3.6,0,1559.18
604.57,0,1,1,Low,7.0,0,969.1
3058.92,0,0,1,High,8.0,0,2653.53
2639.39,0,0,1,Medium,1.4,0,1832.96
1414.3,0,0,1,Low,2.6,0,1057.06
746.55,0,1,1,Low,7.4,0,1370.42
2331.1,0,0,2,Low,9.0,0,984.8
1484.57,0,0,2,High,5.2,0,1180.3
2629.39,0,0,2,Low,6.2,0,935.16
2244.84,1,0,1,Low,11.0,0,1172.91
7341.76,0,0,0,High,3.7,0,1890.12
1845.46,0,1,1,Medium,5.2,0,1797.43
1024.93,0,0,4,Low,9.7,0,1968.48
2526.16,0,0,2,Low,10.1,0,666.15
2604.5,0,0,2,Low,4.4,0,676.62
6120.45,1,0,1,Medium,2.6,1,3386.4
4131.24,1,0,1,Low,4.3,0,1673.23
2886.08,0,0,0,High,4.6,0,1237.1
6617.53,0,0,0,High,2.5,0,1654.26
905.45,0,0,0,Low,2.8,0,356.89
1366.74,0,0,1,Medium,10.1,0,1023.04
1102.21,0,1,1,Low,6.4,0,1447.13
1648.54,0,0,1,Low,3.8,0,2119.64
786.42,0,0,1,Medium,2.1,0,1069.42
3555.9,1,0,0,Low,2.9,0,1313.34
1869.33,0,0,0,Low,1.2,0,0.0
732.82,0,0,0,Low,5.3,0,134.6
1031.03,0,0,4,Low,2.7,0,2138.02
2793.74,0,0,1,Low,5.6,0,1026.84
4140.6,0,0,3,Medium,7.3,0,0.0
9872.89,0,0,2,Medium,5.7,0,2231.82
19641.44,1,0,1,Medium,3.5,0,3689.89
3013.35,0,0,2,Medium,2.4,0,283.19
1051.37,0,0,1,Low,1.8,0,1519.26
446.29,0,0,4,Medium,9.5,0,196.66
2699.4,0,0,1,Low,5.5,0,1314.86
1200.26,0,0,0,Low,3.6,0,429.26
1617.25,0,0,1,High,6.7,0,330.72
1395.39,0,1,1,Low,8.6,0,1453.05
1987.05,0,0,1,Low,2.8,0,1382.06
4912.24,1,0,2,Low,5.4,0,1763.99
2484.4,0,1,1,Low,5.5,0,1605.56
1960.64,1,0,0,Low,10.7,0,610.82
1015.63,0,0,1,Low,3.6,0,0.0
628.91,0,1,1,High,2.4,1,3334.55
1533.44,0,0,2,Low,5.8,0,1939.71
2121.04,1,0,4,Low,7.1,0,2509.74
8316.09,0,0,1,Low,5.1,0,98.79
2435.01,1,0,2,Medium,11.2,0,857.26
4614.94,0,0,1,Low,3.6,0,467.76
1518.58,0,1,2,Low,5.2,0,600.16
908.04,1,1,2,Low,1.5,1,2707.87
1070.8,0,0,1,Medium,2.3,0,1201.33
1281.88,1,0,1,Medium,2.8,0,563.09
10898.19,0,0,2,Medium,4.0,1,3260.29
1192.68,1,1,1,Medium,1.7,1,3074.09
4141.72,0,0,2,Low,6.7,0,858.43
1121.93,0,1,0,Low,2.6,0,833.65
4441.2,0,0,3,Low,15.6,0,368.49
2947.5,0,0,1,Low,2.7,0,633.58
1963.57,0,0,0,Low,4.8,0,491.51
2141.86,0,0,3,Low,4.4,0,1372.74
1351.42,0,0,1,Low,2.1,0,912.98
3085.76,0,0,0,Medium,4.0,0,1000.34
1569.89,0,1,1,Low,4.0,0,1074.5
880.77,0,0,1,Medium,8.0,0,1129.06
846.87,0,0,0,Medium,5.9,0,1260.4
2513.52,0,0,1,Low,6.6,0,733.42
7217.89,0,0,1,Low,7.9,0,1289.93
2489.89,1,1,3,Medium,6.7,1,3251.9
2020.34,0,0,1,Medium,5.4,0,695.71
2736.32,0,0,1,Low,2.8,0,1089.13
5881.11,0,0,0,Low,5.1,0,456.3
2603.3,0,1,1,Medium,2.4,0,1804.61
1622.63,0,0,1,Medium,4.3,0,1039.12
5063.01,0,1,0,Low,3.9,0,1037.25
3045.95,1,0,1,Low,4.1,0,992.74
6987.07,0,0,1,High,1.7,0,1719.63
2533.67,0,1,2,Low,0.3,0,642.17
881.52,1,0,4,High,3.4,1,3812.3
791.46,0,1,3,Low,9.0,0,1812.75
7617.44,0,0,0,Low,4.8,0,1350.54
8044.54,1,0,1,Low,8.6,0,1230.82
1930.16,1,0,3,Low,2.4,0,2657.57
1656.74,0,0,3,High,3.3,1,2837.12
6608.31,0,1,1,Low,16.2,0,1091.27
962.67,0,1,1,High,2.5,1,2430.86
1128.85,0,0,2,Low,6.5,0,0.0
3577.77,0,0,0,High,6.5,0,2343.39
1642.62,0,0,1,High,6.1,0,2379.07
2199.88,0,0,0,Medium,6.6,0,1134.4
1953.58,1,0,0,Low,2.5,0,343.9
2844.61,0,0,2,Medium,3.5,0,2365.32
6346.2,0,0,2,Low,0.4,0,1120.79
2363.59,0,0,1,High,11.0,0,1527.49
3579.41,1,0,1,Low,6.6,0,2001.05
474.55,0,0,1,Low,2.8,0,1005.62
2129.11,0,1,0,Low,2.4,0,2209.64
1173.3,0,0,3,Medium,9.1,0,1648.93
885.27,0,0,1,High,2.7,1,2253.6
1142.97,0,0,1,Low,2.8,0,353.52
1718.84,0,0,1,Medium,2.1,0,14.47
4389.31,0,1,2,High,7.3,1,3324.02
816.65,0,0,1,Low,8.5,0,1296.69
2259.67,1,0,1,Low,3.9,0,1447.54
1535.9,0,1,0,Medium,8.6,0,1268.68
1727.18,0,1,3,Medium,5.7,1,2403.69
4684.75,0,0,0,Low,2.0,0,802.71
3306.31,1,0,1,Medium,10.5,0,2048.49
6021.24,0,0,0,Low,2.0,0,1008.38
1966.72,0,0,1,High,4.1,0,1739.37
1310.34,0,0,0,High,3.9,0,903.4
1867.03,1,0,2,Medium,3.4,0,2127.64
2648.83,0,1,2,Low,0.9,0,0.0
2521.05,0,0,2,Low,14.2,0,1257.04
979.17,0,0,1,Low,1.0,0,2092.22
2363.43,1,0,0,Low,10.9,0,35.83
2620.63,0,0,0,Medium,2.4,0,700.69
14590.2,0,0,0,Low,3.0,0,1366.96
9023.91,1,1,1,Low,10.2,0,1837.25
1164.52,1,1,1,Low,6.1,0,2111.52
1780.17,0,0,2,Low,1.5,0,1254.46
736.88,0,0,0,Low,1.5,0,485.35
1417.95,0,0,0,Medium,5.6,0,1187.76
2798.12,1,0,1,Medium,2.0,0,1465.08
5455.56,0,1,1,Low,6.3,0,3240.81
1278.17,0,0,2,High,6.7,0,1942.71
1352.07,0,0,1,High,2.6,1,2612.05
441.22,0,0,1,Low,3.1,0,0.0
1954.72,1,0,3,Medium,5.7,1,2517.93
995.44,0,0,0,Low,2.5,0,1050.74
1484.63,0,0,1,Low,4.8,0,0.0
1144.08,1,0,1,Low,16.8,0,0.0
2057.62,1,0,1,Low,5.9,0,1121.81
590.93,1,0,0,High,3.5,1,3295.27
734.89,0,0,1,High,15.1,0,1584.75
10904.55,0,0,2,Medium,7.7,0,1748.45
840.87,0,1,2,Medium,2.1,1,1606.69
970.11,0,0,0,Medium,2.4,0,966.65
8757.67,1,0,0,High,1.1,1,3476.74
19512.3,0,0,0,Low,5.6,0,735.91
917.2,0,0,2,Low,0.7,0,1558.2
1675.41,1,0,1,Medium,15.1,0,1798.41
2853.12,0,0,2,Low,3.8,0,1692.49
8074.96,0,1,0,Low,8.0,0,1736.19
1053.48,0,0,2,Low,3.5,0,1303.27
1837.28,0,0,0,Medium,5.6,0,1065.01
3956.06,0,0,0,Low,4.1,0,1104.58
3059.71,0,0,2,Low,4.7,0,83.86
1665.5,1,0,3,Low,9.5,0,771.0
1997.46,0,0,1,Low,12.4,0,345.02
787.47,0,0,2,High,11.9,0,1753.72
1847.1,0,0,2,Low,20.0,0,1212.77
1808.42,0,1,1,Medium,2.7,0,1715.16
2628.39,0,0,0,Medium,5.9,0,1448.4
1456.08,0,1,1,Low,2.7,0,1843.6
3145.27,0,0,1,Medium,9.3,0,650.36
4719.87,0,0,0,Medium,2.1,0,1111.61
2481.38,1,0,1,Medium,9.6,0,967.39
2875.03,0,0,2,Low,5.2,0,967.72
2298.17,0,0,4,Low,4.3,0,1727.86
2208.49,0,0,1,High,4.6,0,0.0
1285.41,1,0,3,Medium,1.8,1,4096.16
2799.99,0,0,3,High,2.0,0,2537.52
2052.95,0,0,0,High,5.3,0,1066.07
10613.44,0,0,1,Low,5.3,0,2412.99
7186.91,0,0,1,Medium,2.8,0,1222.0
2949.48,0,0,1,Low,3.8,0,889.35
1246.02,0,1,3,Medium,6.2,0,1749.31
958.81,0,0,2,Low,2.5,0,1845.71
5395.7,0,0,1,Low,1.0,0,929.96
2689.37,1,0,1,Medium,11.2,0,1530.47
3165.63,0,0,2,Medium,5.5,0,2053.67
596.79,0,0,1,Medium,3.2,0,1273.6
4427.45,0,0,3,Low,2.7,0,1410.03
3105.14,0,0,1,Low,2.5,0,1438.08
960.23,0,0,3,High,9.3,1,4393.38
1550.54,0,0,0,Low,1.6,0,633.11
2691.32,1,0,0,Low,5.9,0,952.61
2296.98,1,0,0,Medium,5.9,0,1254.63
1773.79,1,0,2,Low,7.4,0,2064.9
2043.43,1,1,0,Medium,3.5,0,1313.48
1828.07,1,0,0,Low,10.6,0,674.89
2476.06,0,0,2,Medium,7.6,0,497.73
