income_index,savings_index,debt_ratio,relationship_years,late_payments,application_channel,credit_rating
62.57,10.36,20.72,4.82,0,Online,Good
42.4,11.35,51.58,6.42,0,Branch,Higher risk
69.26,38.03,47.18,3.55,0,Branch,Good
72.11,19.7,37.63,2.56,4,Online,Higher risk
28.73,38.85,23.8,3.18,1,Branch,Higher risk
38.47,16.69,22.25,4.1,3,Branch,Higher risk
59.92,39.46,27.4,2.51,2,Online,Good
53.26,23.58,44.68,6.49,1,Branch,Higher risk
57.75,25.1,20.71,8.19,2,Online,Good
45.2,40.78,43.0,1.24,1,Branch,Higher risk
71.19,17.66,16.13,6.08,4,Branch,Higher risk
69.67,10.71,32.73,5.34,0,Branch,Higher risk
58.99,16.62,37.75,7.02,1,Online,Higher risk
74.91,27.43,75.12,5.96,1,Partner,Higher risk
65.01,3.21,13.96,1.64,1,Branch,Higher risk
45.11,29.65,59.55,2.21,1,Partner,Higher risk
63.53,15.53,38.4,6.09,2,Online,Good
43.62,35.77,42.58,9.09,1,Online,Good
71.18,0.0,37.89,0.2,0,Online,Higher risk
57.25,12.56,43.12,7.04,1,Online,Higher risk
55.23,1.76,33.54,9.57,1,Online,Higher risk
47.79,12.09,59.26,5.54,2,Online,Higher risk
76.34,24.97,28.7,7.65,4,Online,Good
55.68,19.85,54.12,3.89,1,Branch,Higher risk
51.58,18.96,25.69,5.64,2,Branch,Higher risk
52.72,20.09,35.04,1.14,1,Online,Higher risk
65.98,24.44,18.85,0.2,2,Branch,Higher risk
63.48,9.9,43.28,8.83,2,Branch,Higher risk
64.19,30.48,59.12,3.05,1,Branch,Higher risk
64.46,29.95,34.76,4.63,1,Branch,Good
90.12,26.62,32.85,1.84,2,Online,Good
51.9,28.68,18.17,1.77,1,Online,Good
50.32,25.56,32.33,5.48,2,Online,Higher risk
45.79,46.42,10.52,3.81,0,Branch,Good
67.24,20.95,21.39,7.13,3,Online,Good
74.93,18.32,39.63,7.36,1,Online,Good
56.29,12.96,57.1,6.96,0,Online,Higher risk
45.4,9.61,80.95,6.72,2,Online,Higher risk
45.63,7.07,26.61,10.73,1,Online,Good
67.76,11.33,58.96,2.8,1,Online,Higher risk
69.15,21.15,39.9,5.84,1,Partner,Good
66.15,26.01,33.58,9.4,1,Online,Good
48.02,22.61,42.92,9.79,0,Online,Higher risk
61.48,12.81,36.99,1.73,1,Online,Higher risk
59.75,32.8,37.77,5.06,1,Branch,Good
