engagement_x,engagement_y,monthly_spend,visits,segment
-1.776,2.238,35.55,12,Outer segment
0.637,-0.2,52.57,10,Inner segment
-1.452,-1.37,18.47,9,Outer segment
-2.183,-0.142,10.73,6,Outer segment
0.586,-1.718,41.47,4,Outer segment
-0.227,3.276,68.89,12,Outer segment
0.809,-2.197,34.17,1,Outer segment
1.103,0.039,55.85,9,Inner segment
-0.738,-0.569,23.06,6,Inner segment
2.163,-0.967,71.74,6,Outer segment
0.492,-2.502,35.24,4,Outer segment
0.622,-0.841,41.47,3,Inner segment
-2.188,1.869,30.61,14,Outer segment
1.637,-2.867,39.01,2,Outer segment
-0.91,-0.364,24.66,8,Inner segment
-0.643,-0.264,25.48,9,Inner segment
1.034,0.487,52.85,12,Inner segment
0.252,0.859,62.67,10,Inner segment
-0.884,-0.366,27.07,3,Inner segment
0.765,0.308,59.28,9,Inner segment
-0.404,-0.858,29.15,7,Inner segment
0.57,-0.874,51.91,4,Inner segment
2.259,-1.285,57.21,6,Outer segment
0.651,0.643,56.94,9,Inner segment
2.123,-0.899,65.45,4,Outer segment
2.43,1.186,97.57,12,Outer segment
-2.5,0.533,22.61,8,Outer segment
1.33,-1.839,45.77,4,Outer segment
2.265,0.995,82.94,9,Outer segment
0.571,0.156,67.75,11,Inner segment
2.836,0.474,70.46,9,Outer segment
-1.142,-0.221,24.07,8,Inner segment
1.135,-2.402,42.55,2,Outer segment
0.234,0.446,47.57,10,Inner segment
0.744,0.924,57.14,13,Inner segment
-0.882,-0.221,23.96,9,Inner segment
0.231,2.533,72.8,14,Outer segment
-0.306,-0.778,26.7,8,Inner segment
0.466,-0.139,48.36,5,Inner segment
0.18,-1.17,47.46,4,Inner segment
0.686,-1.032,46.83,6,Inner segment
-2.837,-0.463,1.33,6,Outer segment
1.28,-2.238,37.5,1,Outer segment
0.242,0.46,49.06,5,Inner segment
0.729,0.221,49.77,6,Inner segment
-0.909,-0.99,29.59,6,Inner segment
0.986,0.294,48.78,8,Inner segment
2.07,-1.583,66.04,3,Outer segment
-0.691,-2.285,23.81,4,Outer segment
0.655,0.019,54.3,7,Inner segment
-0.9,2.115,56.97,14,Outer segment
-1.012,0.014,29.87,8,Inner segment
