income,savings,debt_ratio,payment_history,transaction_volatility,account_age_years,credit_rating
62509.24,18202.49,0.144,74.42,32.07,3.37,0
35535.77,7130.71,0.6079,96.72,10.26,6.41,0
75378.55,8899.1,0.6055,69.28,6.58,3.93,0
81644.17,9828.72,0.7051,78.72,16.84,5.09,0
24237.44,1361.78,0.2426,80.19,20.8,4.17,0
31830.27,7912.82,0.1522,56.45,14.77,3.05,0
58033.83,24633.39,0.1664,79.66,33.46,5.71,1
48159.16,9984.73,0.039,51.09,10.23,1.35,1
54613.26,12502.03,0.2762,62.62,15.03,2.79,0
38438.31,11606.3,0.5721,88.14,3.91,7.82,0
79573.44,980.33,0.2604,77.35,6.28,1.7,1
76249.11,19603.28,0.7706,67.43,7.83,4.93,0
56546.66,9687.87,0.6403,78.7,11.52,3.73,0
88303.04,8648.35,0.4036,71.1,4.51,3.5,1
66932.66,12211.68,0.1543,72.19,19.53,8.26,0
38337.57,4964.21,0.3583,81.85,7.29,9.23,1
64213.18,16012.96,0.2992,61.09,47.39,2.33,0
36767.07,5378.74,0.438,72.61,7.5,4.42,0
79541.77,18709.91,0.5892,67.32,13.97,1.06,0
53858.72,20047.33,0.6693,48.22,12.77,7.99,0
50891.25,8715.99,0.4424,58.19,5.85,4.77,0
41319.84,7965.83,0.6688,95.52,11.55,1.6,0
91909.15,27643.65,0.321,77.77,11.45,2.89,1
51543.74,12829.22,0.2603,52.15,23.55,2.18,0
45944.56,4880.2,0.2291,48.89,17.27,2.77,0
47438.64,6980.68,0.2056,70.32,19.34,1.15,0
68779.31,10699.14,0.229,95.42,23.22,10.62,1
64124.06,13512.32,0.2621,69.2,19.54,2.39,0
65410.37,14127.17,0.4029,91.6,15.55,4.92,1
65909.2,24969.42,0.3143,77.28,7.77,6.37,1
135209.47,26053.83,0.4224,79.07,14.88,9.23,1
46369.36,7776.84,0.0305,51.96,6.66,5.03,0
44353.48,5952.26,0.1345,86.06,12.19,4.13,1
39077.57,12172.96,0.6315,66.98,11.08,5.17,0
71239.29,3714.61,0.5345,84.95,11.59,2.32,0
88367.26,20575.7,0.0744,59.79,4.55,2.46,1
52429.81,13349.05,0.3264,74.66,1.0,4.06,1
38646.93,9278.7,0.2002,77.28,9.64,0.82,0
38902.21,5829.97,0.2501,69.69,26.78,3.1,0
72282.51,13133.66,0.224,78.07,13.83,3.58,0
75151.04,1355.81,0.2049,68.0,25.54,13.72,1
69093.31,13941.37,0.3299,62.26,6.7,9.94,1
41588.31,13018.68,0.2969,96.08,9.28,6.36,1
60633.1,11899.27,0.2035,87.73,49.17,8.1,1
57762.58,7287.06,0.3935,60.59,7.03,2.44,0
60290.97,7608.31,0.3087,80.53,19.09,5.25,0
79307.55,13898.84,0.2539,60.86,19.07,7.52,1
60415.36,10342.96,0.2558,54.23,17.7,2.46,0
73147.42,13522.57,0.2064,87.51,19.25,1.66,1
56583.44,16146.87,0.632,46.44,6.95,5.95,0
62101.08,8522.06,0.5964,85.9,9.98,1.81,1
71698.82,15846.7,0.5711,68.21,1.0,6.71,1
29824.43,8384.16,0.6483,68.83,32.75,9.14,0
48089.86,28048.11,0.294,78.15,19.17,2.52,1
45140.36,3249.33,0.4085,80.72,7.83,2.66,0
42056.1,14949.01,0.0559,59.6,6.76,8.99,1
48997.7,8429.45,0.4072,82.77,27.08,5.05,0
103049.41,13391.99,0.3351,73.7,7.41,8.29,1
38232.43,5819.21,0.0786,53.16,7.81,4.16,1
82600.03,12578.25,0.2837,69.45,5.65,4.37,1
27126.95,6014.52,0.7211,92.72,21.59,4.97,0
47783.55,17806.76,0.1806,97.15,25.3,12.12,1
58891.07,10079.28,0.5487,82.76,11.13,7.91,0
70354.49,15081.65,0.1858,54.14,25.41,3.03,1
74146.91,16136.07,0.6358,79.36,16.71,5.49,0
76748.9,18481.13,0.3171,84.76,5.36,3.97,1
47506.6,4746.32,0.2251,82.89,31.26,3.5,0
45292.68,9724.37,0.7311,83.77,5.6,6.6,0
78860.7,24648.24,0.1918,77.45,11.72,5.81,1
50753.74,10940.32,0.3489,70.91,11.15,2.54,1
32186.43,3501.14,0.5347,62.87,9.75,4.97,0
34170.15,2788.85,0.1079,43.53,2.18,3.43,0
37381.03,8134.81,0.0642,77.09,42.93,6.35,0
67771.43,1907.7,0.3596,74.79,2.51,3.32,1
58390.43,8510.47,0.289,80.36,32.5,4.38,1
73503.79,7795.7,0.2161,51.94,6.57,3.56,1
45965.31,20089.28,0.5344,81.68,8.41,1.31,1
58786.95,29682.78,0.6209,100.0,30.5,11.78,1
71527.44,10040.42,0.3802,73.18,17.93,4.94,0
48298.84,17915.48,0.5056,71.08,4.04,12.01,0
66631.59,3017.56,0.3721,76.64,3.96,5.08,0
41650.95,5112.13,0.2739,100.0,16.2,7.32,0
47221.56,11031.04,0.2834,56.65,5.51,3.17,1
46852.45,6758.77,0.3814,75.05,18.5,3.22,0
33284.12,9986.7,0.3949,60.01,19.77,4.77,0
67482.05,20894.35,0.5395,63.79,7.15,11.95,0
45158.76,0.0,0.1034,71.26,8.76,2.6,1
55289.37,1158.79,0.4026,92.21,16.56,1.06,0
67305.82,17317.83,0.5254,99.01,6.9,8.86,1
66345.52,19352.46,0.682,78.72,13.84,7.58,0
72732.98,5231.39,0.1062,66.35,51.03,3.7,0
52771.39,11901.64,0.2805,100.0,17.1,14.64,1
46041.72,19313.77,0.4353,65.59,9.86,15.01,1
53189.0,5672.0,0.3433,63.43,45.67,1.24,0
27076.14,1451.89,0.7918,45.38,22.61,3.12,0
29950.5,11922.29,0.5285,92.94,5.63,4.75,0
31557.12,13505.5,0.3455,86.52,6.55,6.25,1
36179.39,12572.17,0.518,100.0,2.82,5.69,1
65055.34,18390.83,0.0656,51.16,16.35,4.93,1
37601.05,9433.16,0.5474,93.87,1.78,2.33,0
46922.86,16786.02,0.5088,73.05,45.64,6.72,0
94917.59,16612.96,0.1417,84.09,10.76,6.95,1
47356.42,16994.32,0.3376,47.28,23.53,8.5,0
74970.13,13540.17,0.6897,94.02,10.05,2.09,0
37159.29,1851.53,0.3583,83.8,16.16,4.28,0
50453.36,15636.93,0.2329,71.42,11.83,3.58,1
36904.15,4274.36,0.4944,81.68,13.56,2.06,0
47700.38,8052.58,0.3482,60.52,28.38,4.23,0
78277.69,11654.35,0.2158,63.31,37.37,2.41,1
26625.21,11543.79,0.6736,65.05,35.55,1.81,0
66009.0,14975.58,0.1229,44.21,70.0,7.64,0
60775.22,12002.43,0.5847,84.93,7.52,3.68,0
42853.62,0.0,0.3368,89.87,17.25,3.01,0
29963.77,7148.38,0.189,61.48,7.66,9.73,1
56691.69,8828.89,0.2469,77.22,27.64,7.07,1
44033.3,5947.27,0.414,68.02,5.86,0.96,0
60646.21,20335.29,0.4912,76.92,28.7,6.27,0
55507.11,10694.33,0.4857,62.59,15.12,6.25,1
107778.73,16696.6,0.3075,58.75,12.33,4.12,1
49739.72,11062.22,0.2615,87.78,13.37,4.02,1
35782.69,9147.92,0.3704,71.04,5.01,1.44,0
59301.17,12135.46,0.0995,100.0,5.38,14.55,1
60324.11,9913.23,0.4288,72.69,15.31,4.22,0
97338.24,12790.68,0.1478,58.11,15.24,6.07,1
78107.02,16744.27,0.2001,90.4,7.94,4.37,1
63893.59,9121.38,0.6511,81.46,10.67,3.05,1
101689.13,23811.16,0.2512,82.9,18.24,7.99,1
33383.2,10582.56,0.3067,89.86,6.87,5.39,0
42040.67,5066.69,0.1842,62.21,2.5,4.24,0
37269.35,0.0,0.2084,70.09,33.5,6.03,0
46693.88,11212.55,0.4212,69.43,16.06,4.63,1
30849.64,11757.32,0.3019,52.64,9.09,12.49,0
71815.23,8866.78,0.1999,68.05,7.64,7.83,1
50098.93,9941.17,0.4448,92.05,6.82,6.63,1
29653.93,5857.91,0.5338,75.56,27.56,1.58,0
35901.89,13322.99,0.1413,51.81,4.29,6.77,0
62740.61,11982.05,0.2708,48.66,17.22,6.67,1
78206.0,9085.33,0.6966,96.97,17.21,2.44,1
127225.38,27617.92,0.3123,70.65,21.85,1.55,1
187008.75,39304.61,0.1025,62.29,9.77,7.64,1
65456.46,13860.32,0.195,67.89,31.7,8.21,1
36296.71,0.0,0.4542,49.84,22.28,3.23,0
22463.1,314.82,0.061,93.35,9.52,3.13,1
61545.21,10643.8,0.6482,66.1,7.36,5.33,0
39091.22,7896.92,0.552,92.51,11.86,3.68,0
46195.53,12537.56,0.4972,72.77,9.28,1.53,0
42531.82,13265.74,0.2098,93.44,6.41,2.42,1
51842.02,2785.11,0.336,75.85,13.79,5.93,0
86060.01,21845.62,0.4309,84.8,10.72,2.52,1
58750.14,14930.12,0.2393,82.79,36.57,8.46,1
51454.94,18216.63,0.6433,81.35,9.27,6.6,1
35600.46,12093.99,0.2919,77.22,7.3,6.08,1
27220.39,11260.2,0.3961,68.51,13.16,5.26,1
44839.25,3683.24,0.3006,100.0,15.71,2.95,1
53771.55,16454.07,0.202,58.4,16.55,7.15,1
115568.54,24072.61,0.5882,72.06,16.44,2.9,1
58093.19,8266.94,0.3873,72.22,13.49,8.73,0
83103.25,23456.76,0.182,78.04,12.79,11.37,1
44595.33,2391.41,0.3883,65.56,19.85,5.37,0
33436.79,712.45,0.7653,76.72,5.94,10.51,0
36670.92,0.0,0.2106,69.47,7.35,2.45,0
40558.21,7304.78,0.4231,48.27,3.35,6.65,0
134463.19,14374.39,0.3246,72.14,6.02,4.85,1
38952.8,1016.02,0.5021,55.49,25.83,7.72,0
78217.91,10134.94,0.4516,45.98,19.29,1.01,0
37641.37,154.62,0.298,74.05,39.68,7.45,0
81336.42,17373.4,0.2457,79.32,33.82,3.15,0
64651.58,23133.74,0.3346,79.9,19.4,5.0,1
51498.12,7002.49,0.8404,80.51,14.57,14.4,0
54066.4,0.0,0.0892,43.01,13.35,6.78,0
41776.01,6307.88,0.5302,51.58,1.66,6.25,0
66332.73,5791.34,0.1607,100.0,12.31,5.95,1
45433.06,6972.98,0.3204,56.29,8.41,9.27,0
32870.6,239.01,0.2319,81.16,6.25,7.88,0
32156.01,9144.47,0.5536,61.7,17.36,5.99,0
59134.83,6206.76,0.3343,73.2,11.25,5.55,1
106756.6,33957.27,0.6388,62.5,13.94,5.32,1
58822.81,14310.64,0.4085,80.42,5.5,4.69,0
52326.61,13940.3,0.3308,74.05,22.91,2.07,0
62015.24,13576.42,0.1492,65.28,9.23,6.69,1
95188.0,17230.19,0.5786,56.25,16.74,3.36,1
60308.55,18634.31,0.2062,76.02,9.84,4.33,1
46281.57,10359.32,0.4356,53.81,1.33,8.19,0
87529.37,16158.39,0.7042,78.41,17.84,4.75,0
65852.07,10981.38,0.6339,100.0,11.8,4.52,1
104831.12,9563.49,0.4529,92.25,3.12,5.38,1
59399.85,13869.23,0.3197,82.78,4.93,3.98,1
32886.3,12855.26,0.2688,70.72,23.36,14.23,1
30960.32,9217.59,0.0323,42.92,3.28,13.11,0
