CUSTOMERID,AGE,YEARSEMPLOYED,INCOME,CARDDEBT,OTHERDEBT
1,41,6,19,0.124,1.073
2,47,26,100,4.582,8.218
3,33,10,57,6.111,5.802
4,29,4,19,0.681,0.516
5,47,31,253,9.308,8.908
6,40,23,81,0.998,7.831
7,38,4,56,0.442,0.454
8,42,0,64,0.279,3.945
9,26,5,18,0.575,2.215
10,47,23,115,0.653,3.947
11,44,8,88,0.285,5.083
12,34,9,40,0.374,0.266
13,24,7,18,0.526,0.644
14,46,6,30,1.415,3.865
15,28,2,20,0.233,1.647
16,24,1,16,0.185,1.287
17,29,1,17,0.132,0.293
18,43,1,26,1.519,1.237
19,44,18,61,2.806,3.782
20,36,16,32,0.544,2.944
21,29,6,25,0.585,0.465
22,36,10,43,0.961,4.629
23,28,6,47,5.574,3.732
24,45,19,77,2.303,4.165
25,37,10,123,3.022,18.257
26,43,9,66,2.341,3.467
27,24,4,21,0.099,0.447
28,37,19,38,2.591,2.539
29,38,13,59,0.408,1.008
30,34,9,45,1.118,3.427
31,40,18,100,1.485,1.015
32,42,12,55,2.533,5.717
33,23,0,42,1.019,0.619
34,40,5,28,1.263,1.537
35,28,12,45,1.854,1.611
36,33,5,37,1.029,2.079
37,35,5,37,0.581,1.417
38,37,0,18,1.584,0.738
39,22,1,18,0.27,0.522
40,39,16,126,1.405,7.163
41,20,4,14,0.201,1.157
42,48,17,113,3.376,10.184
43,28,5,34,3.099,4.993
44,37,9,177,0.888,9.555
45,48,3,27,1.403,4.348
46,45,9,84,1.276,9.728
47,22,4,14,0.225,2.225
48,30,4,21,0.229,0.506
49,28,3,19,0.261,0.518
50,29,10,61,0.798,2.984
51,47,22,81,1.506,2.949
52,36,11,33,1.266,9.459
53,24,3,19,1.358,3.278
54,56,19,66,0.847,1.331
55,29,5,70,3.176,10.754
56,34,2,25,0.573,2.577
57,32,1,20,0.315,0.645
58,27,2,26,0.722,0.838
59,40,9,64,0.79,3.434
60,50,11,36,0.835,0.893
61,39,17,60,2.45,5.77
62,34,18,34,2.1,3.136
63,36,18,67,5.245,2.259
64,44,18,74,4.522,5.394
65,24,4,20,0.324,0.416
66,31,8,44,1.721,1.799
67,34,16,79,1.735,1.425
68,26,4,27,2.472,0.363
69,38,3,23,0.832,2.549
70,24,3,14,0.838,1.416
71,30,8,61,0.55,1.158
72,40,5,75,0.885,0.54
73,30,12,98,2.935,4.121
74,25,5,42,3.366,3.144
75,29,9,33,0.694,0.89
76,33,5,18,0.985,1.337
77,43,8,45,0.677,0.808
78,35,1,21,0.37,1.289
79,41,21,145,3.237,14.453
80,46,18,55,0.419,2.001
81,33,12,68,1.366,5.978
82,30,0,65,3.9,15.405
83,40,18,157,3.326,7.036
84,38,1,42,0.891,2.931
85,49,11,51,0.543,7.107
86,26,0,15,0.386,0.424
87,22,0,25,1.491,1.559
88,29,2,16,0.433,1.247
89,28,8,31,1.492,1.05
90,23,0,32,0.818,5.07
91,37,11,75,0.633,1.992
92,35,5,33,0.103,0.821
93,31,1,21,0.277,0.248
94,29,1,20,0.569,3.151
95,34,7,27,0.125,0.469
96,47,7,49,0.254,0.187
97,37,5,27,0.419,2.119
98,38,10,34,0.036,0.372
99,32,5,28,2.594,1.55
100,22,0,20,0.219,0.721
101,30,7,33,1.165,7.217
102,38,13,126,7.613,9.649
103,36,20,60,1.056,2.184
104,44,5,48,1.97,2.35
105,27,4,22,1.086,1.818
106,47,19,50,3.176,11.874
107,41,7,32,0.072,0.856
108,25,8,27,1.019,2.869
109,33,10,54,0.12,1.5
110,42,13,82,1.315,1.391
111,36,14,53,1.888,1.133
112,25,0,32,2.14,3.492
113,30,10,39,2.056,1.649
114,24,0,16,1.009,1.551
115,32,7,23,0.861,1.393
116,39,9,32,1.43,0.682
117,30,4,18,0.227,1.699
118,33,16,46,2.4,1.326
119,32,12,63,5.55,5.916
120,33,7,26,0.543,1.017
121,29,6,21,0.369,2.046
122,28,5,37,1.124,1.947
123,33,9,32,0.496,1.264
124,39,16,53,0.694,1.267
125,32,10,42,1.54,2.282
126,46,9,72,0.828,2.772
127,32,3,47,0.429,0.464
128,28,5,25,0.339,0.386
129,26,2,21,1.023,3.135
130,27,0,16,0.183,0.089
131,35,16,36,0.179,1.045
132,35,16,57,1.143,4.842
133,31,6,25,2.332,0.543
134,32,5,23,0.326,0.709
135,29,9,25,1.07,2.405
136,35,4,29,1.844,1.346
137,48,21,86,0.146,0.886
138,24,4,19,1.185,0.905
139,44,12,31,0.358,2.649
140,40,5,35,1.584,4.156
141,36,13,41,2.918,3.806
142,23,0,21,0.455,1.372
143,26,8,40,0.444,4.276
144,30,8,23,0.762,1.998
145,34,12,68,7.817,9.251
146,28,2,30,1.522,4.448
147,37,18,58,2.868,3.106
148,46,3,43,3.042,2.634
149,24,1,42,0.838,1.556
150,25,6,26,0.07,1.1
151,33,14,37,0.199,0.763
152,46,7,41,0.585,9.009
153,38,4,31,1.332,1.551
154,47,3,21,0.068,3.166
155,34,9,65,2.108,1.922
156,35,16,37,4.213,2.151
157,39,22,113,0.987,1.951
158,44,24,101,2.992,2.664
159,28,1,24,1.338,2.766
160,31,9,59,3.11,5.504
161,24,1,20,0.325,0.495
162,36,13,39,2.801,4.687
163,35,14,82,0.468,0.188
164,31,11,47,2.864,2.259
165,28,6,22,0.65,1.88
166,36,8,32,0.025,0.487
167,31,6,54,0.402,1.11
168,30,11,27,0.074,0.169
169,26,10,24,0.311,0.337
170,48,3,45,0.975,3.435
171,39,16,89,5.002,7.725
172,31,7,20,0.111,2.349
173,31,9,28,0.122,0.606
174,27,3,45,0.292,4.658
175,31,13,27,0.238,1.112
176,53,0,27,2.754,5.049
177,40,15,55,0.856,2.169
178,26,7,22,0.209,0.913
179,29,5,36,3.491,0.973
180,52,19,89,0.397,3.786
181,39,2,46,4.004,3.356
182,33,13,40,0.181,2.699
183,24,7,21,0.52,0.803
184,47,29,129,20.561,12.076
185,41,2,15,1.961,1.984
186,26,6,45,6.049,5.651
187,48,3,24,0.764,0.916
188,37,13,24,0.602,1.534
189,37,20,41,0.899,4.39
190,46,7,73,0.556,0.247
191,30,8,27,3.744,1.737
192,47,15,30,2.212,5.138
193,37,16,75,0.022,0.053
194,37,0,31,0.118,0.161
195,40,15,73,1.033,1.449
196,35,5,30,1.526,1.654
197,21,0,16,0.15,0.938
198,52,24,64,3.93,2.47
199,47,16,221,15.792,23.104
200,41,0,26,0.099,0.343
